Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"0816 William Key Apt. 514 New Mandy, PA 60145","0816 William Key Apt. 514 New Mandy, PA 60145",New,Cancelled,Opendoor,Dallas,,Flood Zone,0816 William Key Apt. 514,New Mandy,PA,60145,SFR,,Near,2.84,1744,No,Yes,Yes,,City,1984,1171,3545,Driveway,1,1,,Split,9.21,15.49,Yes,4,2400,409279,298988,185292,3174,1358,1467,2981,338,10964,36925,,Yes,Yes,,,Yes,,No,Yes,No,Yes,38.331001,-113.628885,Path,8212,310160,Job Transfer,No,,Priya Sharma,7.29
"066 Rachael Pass Andersonfort, CA 86257","066 Rachael Pass Andersonfort, CA 86257",New,Pending,Opendoor,Atlanta,Yes,,066 Rachael Pass,Andersonfort,CA,86257,Townhouse,Far,Near,1.83,1600,No,,No,City,Septic,1959,3144,5306,Garage,6,1,,Split,9.27,8.47,Yes,4,2944,150851,119262,382068,2246,1703,1153,2491,144,49134,2255,Yes,Yes,,No,No,Yes,No,Yes,Yes,No,No,40.406608,-73.864714,Avenue,8004,193527,Downsizing,,,Amit Kumar,3.93
"25213 Pamela Drives Apt. 749 Jonestown, AL 40651","25213 Pamela Drives Apt. 749 Jonestown, AL 40651",Accepted Offer,Pending,Broker,Dallas,Yes,Minimal Flood,25213 Pamela Drives Apt. 749,Jonestown,AL,40651,Duplex,Far,,1.37,1032,No,No,,,Septic,2010,3329,5738,,3,1,Yes,Colonial,5.66,7.59,Yes,5,1241,451968,385919,358405,2279,2680,1570,2937,74,18246,68308,Yes,No,Yes,Yes,,Yes,No,Yes,No,,Yes,39.266125,-117.329949,Lake,9702,227205,Downsizing,No,No,Luis Garcia,4.23
"038 Evelyn Loop Suite 667 Rioshaven, AR 57171","038 Evelyn Loop Suite 667 Rioshaven, AR 57171",Reviewed,Closed,Bulk,Florida,Yes,Minimal Flood,038 Evelyn Loop Suite 667,Rioshaven,AR,57171,Townhouse,Far,,1.56,762,No,No,Yes,City,City,1988,2028,5194,,4,2,,Split,10.47,8.25,No,2,3192,327458,286937,422793,3105,1570,1967,1355,104,82182,7304,No,,,,Yes,,Yes,,,Yes,,35.965523,-96.338361,Lights,6764,281224,Job Transfer,,,Luis Garcia,4.49
"6555 Alvarez Tunnel North Connor, HI 14399","6555 Alvarez Tunnel North Connor, HI 14399",Accepted Offer,Pending,MLS,Tampa,Yes,,6555 Alvarez Tunnel,North Connor,HI,14399,SFR,Far,Near,1.82,1794,,,,City,,1969,1286,4501,Garage,1,3,Yes,Split,5.49,17.18,,3,982,429858,527800,372724,1618,932,1748,2388,447,41879,44584,,Yes,No,,Yes,,,,Yes,Yes,,39.197442,-107.438644,Drives,2979,504097,Job Transfer,Yes,No,Priya Sharma,4.34
"738 Thomas Ridge Apt. 989 Stephenton, WI 66244","738 Thomas Ridge Apt. 989 Stephenton, WI 66244",Reviewed,Closed,Auction.com,Chicago,No,,738 Thomas Ridge Apt. 989,Stephenton,WI,66244,Townhouse,Far,Near,1.06,1013,No,Yes,No,City,City,1971,1255,5027,Driveway,1,3,No,Split,5.28,13.94,No,4,2155,397237,232693,415460,2646,3604,1400,3321,163,53674,7534,Yes,,Yes,No,Yes,,No,,Yes,,,36.312967,-100.234628,Meadows,8833,479663,Job Transfer,,,Jason Miller,5.19
"41446 Beth Ridge Suite 418 Port Thomasborough, VT 95745","41446 Beth Ridge Suite 418 Port Thomasborough, VT 95745",Cancelled,Cancelled,MLS,Florida,No,Flood Zone,41446 Beth Ridge Suite 418,Port Thomasborough,VT,95745,Duplex,Far,,2.23,1455,No,,No,Well,Septic,1973,2158,1792,Street,3,2,No,Ranch,3.58,17.64,Yes,4,1928,249450,508132,222005,2696,2528,1372,2719,350,5737,74988,No,No,,No,Yes,,No,Yes,No,No,Yes,33.288305,-114.044486,Camp,2774,538357,Investor Sale,No,,Amit Kumar,4.56
"2756 Sheila Coves Port Evelyn, NE 78054","2756 Sheila Coves Port Evelyn, NE 78054",Reviewed,Closed,MLS,Tampa,No,Minimal Flood,2756 Sheila Coves,Port Evelyn,NE,78054,Townhouse,Near,Far,2.25,1531,No,Yes,No,City,Septic,1955,2268,3703,Driveway,1,2,,Colonial,4.77,7.87,No,1,3268,313045,217896,237557,2310,2648,1519,3214,108,64705,77200,No,,No,,Yes,,No,No,,No,Yes,41.985591,-79.613246,Forest,9577,352353,Job Transfer,,No,Amit Kumar,4.76
"3294 Edwards Isle Apt. 985 Johnton, DE 28649","3294 Edwards Isle Apt. 985 Johnton, DE 28649",Closed,Closed,Broker,Dallas,,Flood Zone,3294 Edwards Isle Apt. 985,Johnton,DE,28649,Condo,Far,,2.33,388,,No,No,,Septic,1955,2574,4892,Driveway,5,3,Yes,,7.35,8.99,No,3,1444,197042,201034,589932,1715,2968,735,2781,107,67871,35116,No,,,Yes,,Yes,Yes,Yes,No,Yes,Yes,34.325968,-108.362641,Street,9455,227580,Investor Sale,No,No,Sophia Williams,9.75
"853 Eric Haven Kristinaburgh, IL 82669","853 Eric Haven Kristinaburgh, IL 82669",New,Cancelled,MLS,Dallas,Yes,Flood Zone,853 Eric Haven,Kristinaburgh,IL,82669,SFR,,,1.48,721,Yes,No,No,Well,,1986,861,5748,,6,3,Yes,,3.84,17.26,Yes,2,1084,494607,513358,190050,1558,1878,1704,1907,492,13998,61199,,Yes,Yes,,No,,,No,No,Yes,No,36.176125,-108.731046,Underpass,4252,225299,Investor Sale,Yes,Yes,Jessica Lin,9.52
"994 Amanda Village West Phillipfort, UT 89478","994 Amanda Village West Phillipfort, UT 89478",Accepted Offer,Closed,Bulk,Atlanta,No,Minimal Flood,994 Amanda Village,West Phillipfort,UT,89478,Townhouse,Far,Near,2.72,442,,Yes,,,City,1966,1723,3714,Driveway,3,1,Yes,Ranch,9.15,10.22,Yes,3,2105,281719,107619,297855,2102,1579,1467,2309,408,32284,49137,No,,,Yes,,No,No,,No,No,Yes,40.54534,-88.327203,Place,7950,570267,Job Transfer,Yes,Yes,Jessica Lin,4.9
"22557 Rhodes Bridge Suite 660 West Shaneton, NH 52288","22557 Rhodes Bridge Suite 660 West Shaneton, NH 52288",Closed,Available,MLS,Tampa,No,,22557 Rhodes Bridge Suite 660,West Shaneton,NH,52288,SFR,Near,Far,2.63,241,Yes,No,No,Well,City,2024,962,7240,Street,6,3,,Ranch,6.97,6.28,,3,1074,400527,279992,535806,2834,2774,980,1366,370,20746,59473,,No,Yes,No,Yes,Yes,,Yes,No,Yes,,41.636372,-101.925028,Well,2470,158395,Downsizing,,Yes,Sophia Williams,4.28
"6683 Young Garden Lake Alanstad, MD 42047","6683 Young Garden Lake Alanstad, MD 42047",Reviewed,Cancelled,Bulk,Dallas,No,Minimal Flood,6683 Young Garden,Lake Alanstad,MD,42047,Duplex,Far,Near,2.46,1242,Yes,,,,,1965,617,6596,,2,1,,Colonial,7.15,17.42,Yes,2,3453,441501,385464,148696,2399,990,2000,1958,391,84990,41629,Yes,Yes,No,Yes,Yes,,,Yes,No,Yes,No,36.403065,-105.613861,Cliffs,1537,523214,Downsizing,No,Yes,Michael Chen,9.29
"57501 Gabriel Inlet Apt. 267 Pageberg, MS 76794","57501 Gabriel Inlet Apt. 267 Pageberg, MS 76794",Offered,Pending,Auction.com,Atlanta,Yes,Flood Zone,57501 Gabriel Inlet Apt. 267,Pageberg,MS,76794,Condo,Far,Near,1.79,437,,Yes,No,City,,1984,3320,5125,Street,3,4,No,Ranch,7.36,7.55,Yes,3,3185,181052,465329,161701,2760,2383,1615,3256,413,37378,25017,No,No,,,No,No,,,No,,No,35.529594,-88.96904,Squares,7701,456651,Job Transfer,Yes,,Jessica Lin,3.96
"52928 Rodriguez Circles Pamelafurt, DC 26490","52928 Rodriguez Circles Pamelafurt, DC 26490",Reviewed,Pending,Opendoor,Dallas,,,52928 Rodriguez Circles,Pamelafurt,DC,26490,Condo,Near,Near,3.31,230,Yes,No,,City,,2009,1774,1981,Garage,3,2,No,Ranch,11.53,7.98,No,2,2675,198110,239862,360413,3228,3742,1172,2706,495,49504,359,No,Yes,Yes,Yes,No,Yes,Yes,,,Yes,Yes,41.61953,-76.510168,Ports,6734,522831,Job Transfer,,,Michael Chen,6.94
"113 Ian Burgs Suite 706 Clarkton, AR 51853","113 Ian Burgs Suite 706 Clarkton, AR 51853",Offered,Pending,MLS,Tampa,,Minimal Flood,113 Ian Burgs Suite 706,Clarkton,AR,51853,Condo,,,2.75,173,No,No,No,Well,Septic,1977,1580,3641,Street,6,2,No,Split,8.41,14.71,No,4,2449,459312,515408,96982,1976,3115,1561,2579,273,5736,18469,No,,Yes,,No,Yes,,No,No,,,34.66139,-97.02326,Ways,2871,321743,Investor Sale,Yes,,Jason Miller,5.72
"40563 Robin Ranch East Russell, OR 35825","40563 Robin Ranch East Russell, OR 35825",New,Available,Broker,Dallas,No,Minimal Flood,40563 Robin Ranch,East Russell,OR,35825,Condo,Near,,1.14,1977,Yes,Yes,No,,Septic,1960,1907,9161,Garage,5,2,Yes,Ranch,9.53,16.14,No,1,3210,125925,452141,450942,2583,3835,1937,1817,115,76342,4929,No,Yes,Yes,,,,Yes,Yes,Yes,Yes,No,41.772476,-110.089661,Flats,4262,315642,Job Transfer,,No,David Thompson,8.53
"733 Preston Ports Apt. 067 South Lydia, IA 18541","733 Preston Ports Apt. 067 South Lydia, IA 18541",New,Cancelled,Opendoor,Florida,No,Minimal Flood,733 Preston Ports Apt. 067,South Lydia,IA,18541,SFR,,Far,1.24,749,No,Yes,,City,City,1958,1305,1394,Driveway,4,1,Yes,Ranch,7.28,7.83,No,3,1611,178476,148219,98949,2686,3918,981,1596,314,77233,68974,Yes,,No,,No,,No,,,No,,33.978021,-111.158133,Passage,7606,435150,Investor Sale,No,Yes,Amit Kumar,4.85
"000 Justin Road Suite 675 West Kristinhaven, CT 82892","000 Justin Road Suite 675 West Kristinhaven, CT 82892",Offered,Closed,Opendoor,Tampa,No,Flood Zone,000 Justin Road Suite 675,West Kristinhaven,CT,82892,Townhouse,Far,Near,2.2,1304,,No,Yes,Well,City,2008,3001,7741,Driveway,3,2,No,Colonial,8.93,16.5,No,4,3027,430713,394183,192107,3381,1738,1041,1455,485,77024,69150,,,No,No,,Yes,,Yes,,Yes,,36.473375,-101.533368,Inlet,6875,195451,,No,Yes,Amit Kumar,3.29
"563 Griffin Mill Haasfort, AZ 43419","563 Griffin Mill Haasfort, AZ 43419",Closed,Closed,MLS,Dallas,Yes,Flood Zone,563 Griffin Mill,Haasfort,AZ,43419,Condo,Far,,2.69,1224,,No,Yes,,Septic,1976,2718,7090,Street,4,2,Yes,Ranch,7.07,10.04,No,3,2869,186400,264081,206934,2433,3697,1218,1212,5,12212,81534,No,,No,No,No,,No,,,No,Yes,41.326423,-82.397169,Brooks,9634,144431,,No,,Amit Kumar,9.48
"781 Susan Wells Suite 257 Jeffbury, WY 35031","781 Susan Wells Suite 257 Jeffbury, WY 35031",Reviewed,Closed,Broker,Atlanta,Yes,Flood Zone,781 Susan Wells Suite 257,Jeffbury,WY,35031,SFR,Far,,1.93,1945,No,,No,City,City,2008,2457,2447,,5,1,No,Split,11.56,13.83,No,4,1877,141231,348759,229406,1280,3646,1018,1726,238,20184,56715,,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,39.886901,-113.805012,Ports,6645,93146,Downsizing,,No,Samantha Pierce,5.06
"6328 Kimberly Ford West Jasonmouth, MP 74096","6328 Kimberly Ford West Jasonmouth, MP 74096",Cancelled,Available,Broker,Chicago,Yes,Minimal Flood,6328 Kimberly Ford,West Jasonmouth,MP,74096,SFR,,Near,2.92,1330,No,,No,,Septic,2009,1581,2419,,1,1,,Ranch,10.32,16.06,,4,1006,340325,283161,217107,1973,3712,1267,1171,16,13283,64182,,No,No,Yes,,No,Yes,,Yes,Yes,No,34.912597,-84.544092,Walks,7251,449183,Job Transfer,Yes,,Priya Sharma,9.84
"57307 Andrew Extension Suite 465 Hufffort, MH 31150","57307 Andrew Extension Suite 465 Hufffort, MH 31150",Closed,Cancelled,Auction.com,Atlanta,No,Flood Zone,57307 Andrew Extension Suite 465,Hufffort,MH,31150,Condo,Far,,2.81,484,No,,Yes,,City,2020,868,1909,Garage,3,4,Yes,Ranch,11.48,19.09,No,5,2572,425698,117191,179417,2763,3364,700,3200,69,77578,51936,No,No,,,,No,No,,Yes,,,38.202292,-94.514704,Mews,4851,582475,Downsizing,No,,Luis Garcia,8.86
"5888 Joe Union Apt. 683 North William, MO 17221","5888 Joe Union Apt. 683 North William, MO 17221",Offered,Closed,Bulk,Atlanta,Yes,Minimal Flood,5888 Joe Union Apt. 683,North William,MO,17221,SFR,Far,,2.98,533,,,,,,1996,1789,2858,,6,4,Yes,,7.21,14.59,No,4,1823,453636,321523,455575,2005,1112,1414,1222,126,29944,18003,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,,41.368872,-86.181219,Via,6550,311671,Investor Sale,No,,Amit Kumar,6.38
"3549 Nicholas Square Suite 344 South Erinburgh, KY 09123","3549 Nicholas Square Suite 344 South Erinburgh, KY 09123",Closed,Closed,Internal,Chicago,,Minimal Flood,3549 Nicholas Square Suite 344,South Erinburgh,KY,9123,Townhouse,,,1.31,48,Yes,No,Yes,City,Septic,2014,2285,1808,Street,1,4,No,Split,3.43,14.73,Yes,1,2577,473236,137030,317154,3120,1980,1671,2869,100,10143,85787,,No,,,No,No,Yes,,,Yes,,38.274685,-74.108279,Plains,3950,200654,Downsizing,,No,Jessica Lin,3.3
"42686 Taylor Roads Suite 824 Andrewbury, KY 54888","42686 Taylor Roads Suite 824 Andrewbury, KY 54888",Cancelled,Pending,MLS,Florida,,Flood Zone,42686 Taylor Roads Suite 824,Andrewbury,KY,54888,Condo,Far,Near,1.57,1940,No,No,No,City,,2007,3331,4101,Driveway,5,3,Yes,Colonial,7.16,15.27,No,5,1598,413042,513538,441132,1952,2221,1133,1819,460,36405,78994,,Yes,No,,Yes,No,Yes,No,Yes,Yes,,34.724852,-115.592331,Islands,4626,206704,Investor Sale,Yes,No,Amit Kumar,4.95
"723 Dawn Trail Apt. 972 East Veronica, RI 73012","723 Dawn Trail Apt. 972 East Veronica, RI 73012",New,Closed,MLS,Tampa,Yes,Flood Zone,723 Dawn Trail Apt. 972,East Veronica,RI,73012,Condo,Near,Near,1.69,1689,No,No,No,City,,1959,1551,1287,Street,2,2,No,Colonial,3.66,6.07,Yes,4,3244,328364,266598,281408,3197,1704,1367,1937,93,444,4563,No,No,,,Yes,,Yes,Yes,Yes,No,Yes,33.824237,-87.150203,Islands,4214,317988,,Yes,,Jason Miller,3.44
"009 Erin Springs Taylorborough, ME 44895","009 Erin Springs Taylorborough, ME 44895",Accepted Offer,Closed,MLS,Atlanta,,Flood Zone,009 Erin Springs,Taylorborough,ME,44895,Townhouse,,Near,1.75,467,No,No,,Well,Septic,2001,1395,7076,Garage,3,2,No,Ranch,6.74,8.52,,3,2280,286803,491530,355035,2924,3514,1394,1702,236,80734,31947,,Yes,No,Yes,Yes,No,No,Yes,,,No,38.930957,-112.587948,Land,6754,531243,Job Transfer,,No,Priya Sharma,4.87
"2449 Mcintosh Expressway Suite 356 South Samanthaborough, MS 22256","2449 Mcintosh Expressway Suite 356 South Samanthaborough, MS 22256",New,Available,Internal,Tampa,Yes,,2449 Mcintosh Expressway Suite 356,South Samanthaborough,MS,22256,Condo,,,2.5,1573,,,Yes,Well,City,1961,1594,9198,Driveway,2,3,No,Colonial,3.64,16.58,Yes,3,979,481010,418977,257485,2831,2262,1154,1371,151,95531,17895,No,Yes,,Yes,,Yes,,,Yes,,,41.64318,-99.419176,Underpass,5011,446470,Downsizing,,,Amit Kumar,4.68
"793 Michelle Mountain Lake Victoria, WV 76221","793 Michelle Mountain Lake Victoria, WV 76221",Reviewed,Cancelled,Auction.com,Tampa,,Minimal Flood,793 Michelle Mountain,Lake Victoria,WV,76221,SFR,,Far,1.06,1100,Yes,Yes,,,,2000,2648,7436,Street,6,1,Yes,Colonial,8.23,12.33,Yes,2,1502,112427,529934,405284,2406,970,862,1881,72,68237,81250,,Yes,,No,Yes,Yes,,Yes,Yes,Yes,No,34.05471,-94.490467,Isle,5592,211964,Downsizing,Yes,No,Jason Miller,8.51
"9368 Alicia Union Suite 871 North Megan, WA 64443","9368 Alicia Union Suite 871 North Megan, WA 64443",New,Cancelled,Opendoor,Florida,No,Minimal Flood,9368 Alicia Union Suite 871,North Megan,WA,64443,SFR,,Near,1.14,1301,No,Yes,Yes,City,City,1951,883,5371,Garage,4,3,No,,5.11,11.15,No,4,3058,279638,160954,397948,1122,3302,1619,3063,106,99899,30993,Yes,Yes,No,Yes,Yes,Yes,,No,Yes,Yes,,34.917967,-113.589257,Orchard,2597,589423,Downsizing,,Yes,David Thompson,8.03
"83083 Alexander Plaza Suite 776 Port Scottfurt, RI 04913","83083 Alexander Plaza Suite 776 Port Scottfurt, RI 04913",Accepted Offer,Closed,Bulk,Dallas,Yes,,83083 Alexander Plaza Suite 776,Port Scottfurt,RI,4913,SFR,,Far,2.33,703,No,Yes,,,,1972,2785,5897,Street,3,2,,Ranch,10.01,5.87,,5,3309,385493,181190,329686,2966,2749,1489,2685,109,94910,14779,,No,Yes,,Yes,Yes,No,Yes,,No,,41.768791,-117.942349,Village,5349,561217,Investor Sale,No,,Amit Kumar,8.55
"945 Jeffrey Ways West Veronica, ID 38080","945 Jeffrey Ways West Veronica, ID 38080",Closed,Pending,MLS,Florida,No,,945 Jeffrey Ways,West Veronica,ID,38080,Condo,Far,,1.34,1145,,,No,City,Septic,2008,2474,6520,Street,2,2,,Ranch,4.78,12.98,Yes,2,1696,246077,366532,449395,2860,3125,823,1426,463,3388,26067,No,Yes,No,Yes,Yes,No,Yes,,Yes,No,No,37.459314,-80.038263,Isle,6880,343488,Job Transfer,,Yes,Priya Sharma,7.95
"85851 Daniel Curve Weaverhaven, AR 81493","85851 Daniel Curve Weaverhaven, AR 81493",Closed,Available,Internal,Dallas,No,Minimal Flood,85851 Daniel Curve,Weaverhaven,AR,81493,SFR,,Far,3.47,381,Yes,Yes,,,,1972,2016,4724,,4,1,No,Ranch,10.56,18.88,,2,892,263340,380734,328325,3337,1416,1754,2639,32,52812,24000,Yes,No,No,No,Yes,,,,Yes,,,40.344888,-86.652306,Gardens,6948,408350,Job Transfer,Yes,,Priya Sharma,4.87
"3480 Davis Ramp Apt. 811 South Bridget, VA 80202","3480 Davis Ramp Apt. 811 South Bridget, VA 80202",Offered,Closed,Internal,Tampa,Yes,Minimal Flood,3480 Davis Ramp Apt. 811,South Bridget,VA,80202,SFR,,,2.93,1775,,Yes,No,,,2017,1894,9117,Street,2,4,,Colonial,10.67,10.25,,5,3297,297453,482929,199256,1355,2719,1378,1518,397,10342,12058,No,Yes,Yes,,No,,Yes,No,,,,39.796837,-84.601374,Forest,8582,303288,,,No,Jason Miller,8.54
"265 Betty Lakes Apt. 277 Port Jamesfurt, MH 98767","265 Betty Lakes Apt. 277 Port Jamesfurt, MH 98767",New,Pending,Internal,Atlanta,No,Minimal Flood,265 Betty Lakes Apt. 277,Port Jamesfurt,MH,98767,SFR,Far,,2.67,61,No,No,No,Well,City,1959,3327,6416,Driveway,6,1,,Colonial,5.08,8.46,,3,1531,150928,374430,569489,1648,1395,1318,2542,48,39982,33104,No,No,,Yes,,Yes,Yes,Yes,,Yes,Yes,37.081145,-109.523382,Club,5575,434473,Downsizing,No,No,Jason Miller,9.58
"55742 Hodge Creek Apt. 063 Yatesport, CA 51141","55742 Hodge Creek Apt. 063 Yatesport, CA 51141",Cancelled,Closed,MLS,Dallas,,,55742 Hodge Creek Apt. 063,Yatesport,CA,51141,Condo,Near,,1.11,1415,Yes,Yes,No,,Septic,1955,2121,6721,Driveway,6,3,,Colonial,5.66,14.93,Yes,2,1143,381693,118842,332631,2121,3270,1099,1405,335,24665,85488,Yes,No,Yes,,No,Yes,,No,No,,No,37.38112,-89.737694,Underpass,6585,512702,,No,No,Emily Patel,7.79
"90065 Alvarez Squares Apt. 471 Port Pamela, NM 20560","90065 Alvarez Squares Apt. 471 Port Pamela, NM 20560",Offered,Pending,MLS,Florida,No,,90065 Alvarez Squares Apt. 471,Port Pamela,NM,20560,Townhouse,,Far,2.1,994,Yes,No,No,Well,Septic,1997,2235,5287,Street,6,3,,Split,4.89,16.55,No,2,2774,151410,225314,215630,1509,1370,1039,2009,2,93870,64239,Yes,Yes,No,Yes,,Yes,,,No,,,39.380873,-108.565114,Flat,3509,310446,Job Transfer,No,,Amit Kumar,8.39
